code,name,qty,cost,rate,thb_price,price
8850310000000,ຂະໜົມເມຈິກສີແດງ 2 ບາດ 24ຖົງ,,,,,27000
8859330000000,ຂະໜົມແຫວນ,,,,,4000
25931,ຂະໜົມແອັດແລນເຈີ,,,,,4000
25930,ຂະໜົມແອັດແລນເຈີ 12 ຫໍ່,,,,,37000
8850940000000,ຂະໜົມໂດເລມອນ,,,,,4000
8850940000000,ຂະໜົມໂດເລມອນ 12 ຫໍ່,,,,,37000
8935010000000,ຂະໜົມໄຂ່ດຳ 12ກ້ອນ,,,,,23000
25255,ຂະໝົມລວມ 12ຫໍ່,,,,,40000
8854460000000,ສະວີງ,,,,,4000
8854460000000,ຂຸ່ຍເມໂລດີ້ 12 ອັນ,,,,,37000
8850430000000,ໄຂ່ຫວານ,,,,,4000
8850430000000,ໄຂ່ຫວານ 12 ຫໍ່,,,,,37000
8850430000000,ຄລີໂອ ນົມ,,,,,4000
8850430000000,ຄລີໂອ ນົມ 12 ຫໍ່,,,,,37000
8851930000000,ຄອດເນັດໂຕ ຄລາສສິກ ຊັອກໂກເລີບ,,,,,17000
8851930000000,ຄອດເນັດໂຕ ຄລາສສິກ ວະນິລາ,,,,,17000
8851930000000,ຄອດເນັດໂຕ ຄລາສສິກ ເຢວສະຕໍບໍລີ່,,,,,17000
8851930000000,ຄອດເນັດໂຕ ປັອບຄອນ,,,,,17000
8851930000000,ຄອດເນັດໂຕຟາຍ,,,,,17000
6973970000000,ຄອນຊີນເລີ,,,,,25000
8850410000000,ຄອນປັອບ 5ບາດ,,,,,4000
8851730000000,ຄອນເນ່ຊີດ 20ບາດ,,,,,17000
8851730000000,ຄອນເນ່ດັ້ງເດີມ 20ບາດ,,,,,17000
8851730000000,ຄອນເນີ່ລົດຊີດ  5ບາດ,,,,,4000
8851730000000,ຄອນເນີ່ລົດຊີດ 5ບາດ 12 ຫໍ່,,,,,42000
8851730000000,ຄອນເນີ່ລົດດັ້ງເດີມ  5ບາດ,,,,,4000
8851730000000,ຄອນເນີ່ລົດດັ້ງເດີມ 5ບາດ 12 ຫໍ່,,,,,42000
8850420000000,ຄອບຂຽວ 20ບາດ,,,,,15000
8850420000000,ຄອບດຳ  5ບາດ,,,,,4000
88850400000000,ຄອບດຳ  5ບາດ 12 ຫໍ່,,,,,37000
8850420000000,ຄອບດຳ 20ບາດ,,,,,15000
8850420000000,ຄອບຟ້າ  5ບາດ 12,,,,,4000
88850400000000,ຄອບຟ້າ  5ບາດ 12 ຫໍ່,,,,,37000
8850420000000,ຄອບຟ້າ 20ບາດ,,,,,15000
02345,ຄອມຟອດຊາກຸລະ 12ຊອງ,,,,,14000
8851930000000,ຄອມຟອດຊາກຸລະ 1ຊອງ,,,,,2000
8851930000000,ຄອມຟອດຊາກຸລະ 24ຊອງ,,,,,25000
04567,ຄອມຟອດນ້ຳດຽວເທລະພີ 12ຊອງ,,,,,14000
8851930000000,ຄອມຟອດນ້ຳດຽວເທລະພີ 24ຊອງ,,,,,25000
8851930000000,ຄອມຟອດບົວຟໍລັດເຟດ,,,,,2000
25009,ຄອມຟອດບົວຟໍລັດເຟດ 12 ຊອງ,,,,,25000
12227,ຄອມຟອດບົວຟໍລັດເຟດ 12ຊອງ,,,,,14000
8851930000000,ຄອມຟອດບົວຟໍລັດເຟດ 24ຊອງ,,,,,28000
12225,ຄອມຟອດບົວຟໍລັດເຟດ12 ແພັກ,,,,,283000
8851930000000,ຄອມຟອດຟ້າເດລີ່ເຟດ,,,,,2000
12229,ຄອມຟອດຟ້າເດລີ່ເຟດ 12 ແພັກ,,,,,295000
12231,ຄອມຟອດຟ້າເດລີ່ເຟດ 12ຊອງ,,,,,14000
25024,ຄອມຟອດຟ້າເດລີ່ເຟດ 12ຊອງ,,,,,14000
8851930000000,ຄອມຟອດຟ້າເດລີ່ເຟດ 24ຊອງ,,,,,28000
8851930000000,ຄອມຟອດອາໂຣມາເທລະພີ່,,,,,2000
12233,ຄອມຟອດອາໂຣມາເທລະພີ່ 12 ແພັກ,,,,,283000
12235,ຄອມຟອດອາໂຣມາເທລະພີ່ 12ຊອງ,,,,,14000
12234,ຄອມຟອດອາໂຣມາເທລະພີ່ 24ຊອງ,,,,,26000
8851930000000,ຄອມຟອດເດຊີ່ແລະລິນລີ່,,,,,2000
12243,ຄອມຟອດເດຊີ່ແລະລິນລີ່ 12ຊອງ,,,,,14000
8851930000000,ຄອມຟອດເດຊີ່ແລະລິນລີ່ 24ຊອງ,,,,,26000
8851930000000,ຄອມຟອດແກລມເມີລັດ,,,,,25000
8851930000000,ຄອມຟອດແກລມເມີລັດ 1 ຊອງ,,,,,2000
47878,ຄອມຟອດແກລມເມີລັດ 12 ຊອງ,,,,,14000
8851930000000,ຄອມຟອດແອນຊານ,,,,,2000
12239,ຄອມຟອດແອນຊານ 12ຊອງ,,,,,14000
12237,ຄອມຟອດແອນຊານ 12ແພັກ,,,,,283000
8851930000000,ຄອມຟອດແອນຊານ 24ຊອງ,,,,,26000
8851930000000,ຄອມຟອດແອັກທີບເຟດ,,,,,2000
12221,ຄອມຟອດແອັກທີບເຟດ 12ແພັກ,,,,,283000
8851930000000,ຄອມຟອດແອັກທີບເຟດ 24ຊອງ,,,,,26000
12223,ຄອມຟອດແອັກທີບເຟດ12ຊອງ,,,,,14000
8850140000000,ຄະນໍ 100ກັມ,,,,,12000
8850140000000,ຄະນໍ 17ກັມ,,,,,4000
24947,ຄະນໍ 17ກັມ 12 ຫໍ່,,,,,27000
8850140000000,ຄະນໍ 425ກັມ,,,,,40000
8850250000000,ຄະນໍ 7 ກັມ 10 ຖົງ,,,,,70000
8850140000000,ຄະນໍ 800ກັມ,,,,,72000
8850140000000,ຄະນໍກ້ອນຕົ້ມຈືດ,,,,,5000
8850140000000,ຄະນໍກ້ອນຕົ້ມຍຳ,,,,,5000
8855440000000,ຄາບູກິ,,,,,4000
8855440000000,ຄາບູກິ,,,,,4000
8855440000000,ຄາບູກິ 12 ຊອງ,,,,,37000
8855440000000,ຄາບູກິ 12 ຊອງ,,,,,37000
25195,ຄ່າບໍລິການກົດເງິນຜ່ານຮ້ານ,,,,,1000
8855790000000,ຄາລາບາວ,,,,,9000
8850720000000,ຄາເວຍເບບີ້ອອຍ100ມລ,,,,,17000
26121,ຄິມໂອໂຮ,,,,,45000
8850080000000,ຄິວເພັດ ຈູລຽດໂລດ 60 ມລ,,,,,35000
8850080000000,ຄິວເພັດຟູໄນສະລິບແບບຊອງ,,,,,34000
68850100000000,ຄິວເພັດຟູໄນສະລິບແບບຊອງ 6ຊອງ,,,,,196000
6972050000000,ຄີມຂັດຜິວສະຕໍບໍລີ່ 250ກັມ,,,,,30000
13849,ຄີມຍັນຮີສີຂຽວແບບກ່ອງ,,,,,50000
13848,ຄີມຍັນຮີສີຟ້າແບບກ່ອງ,,,,,50000
8851430000000,ຄີມອາບນ້ຳດີຢ່າ765ມລ,,,,,56000
8851990000000,ຄີມອາບນ້ຳບີໄນຂຽວໃຫຍ່ 450ມລ,,,,,46000
8851990000000,ຄີມອາບນ້ຳບີໄນບົວນ້ອຍ 170ມລ,,,,,25000
8851990000000,ຄີມອາບນ້ຳບີໄນບົວໃຫຍ່ 450ມລ,,,,,46000
8851990000000,ຄີມອາບນ້ຳບີໄນລູກພີເ170ມລ,,,,,30000
8851990000000,ຄີມອາບນ້ຳບີໄນແດງນ້ອຍ170ມລ,,,,,26000
8851990000000,ຄີມອາບນ້ຳບີໄນແດງໃຫຍ່450ມລ,,,,,46000
6928000000000,ຄີມອາບນ້ຳຟຣຸດກີວີ500ມລ,,,,,35000
6928000000000,ຄີມອາບນ້ຳຟຣຸດສະຕໍບໍລີ່500ມລ,,,,,30000
8851930000000,ຄີມອາບນ້ຳລັກ 2 ຕຸກ,,,,,95000
8851930000000,ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກນ້ອຍ 190ມລ,,,,,26000
8851930000000,ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກນ້ອຍ 190ມລ 3ຕຸກ,,,,,67000
13620,ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກໃຫຍ່ 450ມລ,,,,,50000
13618,ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກໃຫຍ່ 450ມລ 8 ແພັກ,,,,,724000
8851930000000,ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກໃຫຍ່ 450ມລ2ກ່ອງ,,,,,97000
6956090000000,ຄີມອາບນ້ຳລັກສີຟ້າແບບຕຸກໃຫຍ່ 500ມລ,,,,,50000
8851930000000,ຄີມອາບນ້ຳລັກສີມ່ວງ 2 ຕຸກ 450ມລ,,,,,97000
13633,ຄີມອາບນ້ຳລັກສີມ່ວງແບບຕຸກນ້ອຍ,,,,,26000
13632,ຄີມອາບນ້ຳລັກສີມ່ວງແບບຕຸກນ້ອຍ190ມລ 3ຕຸກ,,,,,67000
13624,ຄີມອາບນ້ຳລັກສີມ່ວງແບບຕຸກໃຫຍ່ 450ມລ8ແພັກ,,,,,724000
13631,ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກນ້ອຍ,,,,,26000
13630,ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກນ້ອຍ 190ມລ 3ຕຸກ,,,,,67000
8851930000000,ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກໃຫຍ່ 450ມລ2ກ່ອງ,,,,,93000
8851930000000,ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກໃຫຍ່ 450ມລ2ກ່ອງ,,,,,93000
13621,ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກໃຫຍ່ 450ມລ8 ແພັກ,,,,,724000
6976070000000,ຄີມອາບນ້ຳຫມາກພ້າວ400ມລ,,,,,30000
6941350000000,ຄີມອາບນ້ຳຫວ່ານຫາງສຈະເຂ້400ມລ,,,,,30000
6976070000000,ຄີມອາບນ້ຳອາໂວກາໂດ້400ມລ,,,,,30000
8850010000000,ຄີມອາບນ້ຳໂພເທັກ450ມລ,,,,,53000
8850010000000,ຄີມອາບນ້ຳໂພເທັກດຳ 450ມລ,,,,,53000
26686,ຄີມອາບນ້ຳໂພເທັກບົວ 450ມລ,,,,,53000
8850010000000,ຄີມອາບນ້ຳໂພເທັກມ່ວງ 450ມລ,,,,,53000
8850010000000,ຄີມອາບນ້ຳໂພເທັກເຫຼືອງ 450ມລ,,,,,53000
8850000000000,ຄີມອາບບນ້ຳເດັກໂຄໂດໂມະ100ມລ,,,,,23000
8850000000000,ໂຄໂດໂມະ ສີມ່ວງ 200 ມລ,,,,,35000
8850000000000,ຄີມອາບບນ້ຳເດັກໂຄໂດໂມະ400ມລ,,,,,66000
13839,ຄີມເອັມເກົ້າຂຽວ,,,,,36000
13840,ຄີມເອັມເກົ້າບົວ,,,,,36000
13841,ຄີມເອັມເກົ້າເຫຼືອງ,,,,,36000
8857120000000,ຄີມໂກເນ່,,,,,25000
27615,ຄີມໂກເນ່ 6 ກັບ,,,,,120000
13842,ຄີມໂສມງານ,,,,,115000
8850000000000,ຄີມໄຂ່ມຸກຂີ້ມີິ້ນ,,,,,30000
8850000000000,ຄີມໄຂ່ມູກຂອງແທ້,,,,,55000
8850000000000,ຄີມໄຂ່ມູກຂອງແທ້ 12 ກັບ,,,,,595000
8850310000000,ຄີໂອຟ້າ 2 ບາດ 24ຖົງ,,,,,27000
8885010000000,ຄຸກກີ້ຈວຍ 100ມລ,,,,,10000
8858840000000,ຄົວທິບ,,,,,38000
8850010000000,,,,,,32000
8850010000000,ຄໍເກດຂຽວມິ້ນ 150ກັມ  6ກ່ອງ,,,,,175000
8850010000000,ຄໍເກດດັ້ງເດີມ 6 ກ່ອງ,,,,,152000
8850010000000,ຄໍເກດຟ້າ 150ກັມ,,,,,32000
8850010000000,ຄໍເກດຣິວໃສເຢັນສົດຊື່ນ 150ກັມ,,,,,32000
8850010000000,ຄໍເກດຣິວໃສເຢັນສົດຊື່ນ 150ກັມ  6ກ່ອງ,,,,,185000
8850010000000,ຄໍເກດເກືອ 6ກ່ອງ,,,,,178000
8850010000000,ຄໍເກດເກືອຖ່ານຊາໂຄ 150ກັມ,,,,,35000
8850010000000,ຄໍເກດເກືອຖ່ານຊາໂຄ 150ກັມ  6ກ່ອງ,,,,,195000
8850010000000,ຄໍເກດເກືອສະໝຸນໄພ 150ກັມ,,,,,35000
8850010000000,ຄໍເກດເກືອສະໝຸນໄພ 35ກັມ,,,,,10000
8850010000000,ຄໍເກດເກືອສະໝຸນໄພ 35ກັມ,,,,,8500
8850010000000,ຄໍເກດເກືອສະໝຸນໄພ 35ກັມ  12ກ່ອງ,,,,,95000
8850010000000,ຄໍເກດເກືອສະໝຸນໄພ 35ກັມ  12ກ່ອງ,,,,,80000
8850010000000,ຄໍເກດເກືອເອັກຕຣ້າເຟດ 150ກັມ  6ກ່ອງ,,,,,178000
8850010000000,ຄໍເກດເກືອເອັກຕຣ້າເຟດ 150ກັມ  6ກ່ອງ,,,,,178000
8850340000000,ຄໍເລດດັ້ງເດີມມິ້ນ,,,,,5000
8850340000000,ຄໍເລດດັ້ງເດີມມິ້ນ 20ແທ່ງ,,,,,60000
8850340000000,ຄໍເລດເຄຍມິ້ນ,,,,,5000
8850340000000,ຄໍເລດເຄຍມິ້ນ 20ແທ່ງ,,,,,60000
8859050000000,ງາຂາວ,,,,,45000
8885010000000,ຈວຍຄູກກີ້,,,,,10000
ຈວຍດຳ,ຈວຍດຳ,,,,,4000
8859710000000,ຈວຍບົວ,,,,,4000
8859710000000,ຈວຍຟ້າ,,,,,4000
6942330000000,ຈວຍສະຕໍດີດີ,,,,,5000
8859710000000,ຈວຍເຫຼືອງ,,,,,4000
8858800000000,ຈອກ 22 ອອນ,,,,,23000
8859090000000,ຈອກ 28 ອອນ,,,,,36000
8858800000000,ຈອກ 32 ອອນ,,,,,50000
8855050000000,ຈອກ 7 ອອນ,,,,,30000
8850200000000,ຈອຍມາສເມໂລຄັບ 12 ອັນ,,,,,37000
8850200000000,ຈອຍມາສເມໂລຄັບ 12 ອັນ,,,,,37000
25316,ຈອນນີ່ 5 ຊອງ,,,,,28000
4897030000000,ຈອນນີ່ຂຽວ,,,,,8000
4897030000000,ຈອນນີ່ຂຽວ 10ຊອງ,,,,,65000
4897030000000,ຈອນນີ່ຟ້າ,,,,,10000
4897030000000,ຈອນນີ່ຟ້າ 10 ຊອງ,,,,,95000
8850590000000,ຈອນລີ່ໂຄລ່າ,,,,,4000
8850590000000,ຈອນລີ່ໂຄລ່າ 12 ຫໍ່,,,,,37000
88530208,ຈອນສັນກະປຸກນ້ອຍບົວ50ກັມ,,,,,46000
88531649,ຈອນສັນກະປຸກນ້ອຍຟ້າ50ກັມ,,,,,56000
88530215,ຈອນສັນກະປຸກໃຫຍ່ບົວ100ກັມ,,,,,66000
8850010000000,ຈອນສັນກະປຸກໃຫຍ່ຟ້າ100ກັມ,,,,,74000
