code,proname,qty,cost,rate,thb_price,price
ຄີມອາບນ້ຳລັກສີມ່ວງແບບຕຸກໃຫຍ່ 450ມລ8ແພັກ,13624,,,,,724000
ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກນ້ອຍ,13631,,,,,26000
ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກນ້ອຍ 190ມລ 3ຕຸກ,13630,,,,,67000
ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກໃຫຍ່ 450ມລ2ກ່ອງ,8.85193E+12,,,,,93000
ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກໃຫຍ່ 450ມລ2ກ່ອງ,8.85193E+12,,,,,93000
ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກໃຫຍ່ 450ມລ8 ແພັກ,13621,,,,,724000
ຄີມອາບນ້ຳຫມາກພ້າວ400ມລ,6.97607E+12,,,,,30000
ຄີມອາບນ້ຳຫວ່ານຫາງສຈະເຂ້400ມລ,6.94135E+12,,,,,30000
ຄີມອາບນ້ຳອາໂວກາໂດ້400ມລ,6.97607E+12,,,,,30000
ຄີມອາບນ້ຳໂພເທັກ450ມລ,8.85001E+12,,,,,53000
ຄີມອາບນ້ຳໂພເທັກດຳ 450ມລ,8.85001E+12,,,,,53000
ຄີມອາບນ້ຳໂພເທັກບົວ 450ມລ,26686,,,,,53000
ຄີມອາບນ້ຳໂພເທັກມ່ວງ 450ມລ,8.85001E+12,,,,,53000
ຄີມອາບນ້ຳໂພເທັກເຫຼືອງ 450ມລ,8.85001E+12,,,,,53000
ຄີມອາບບນ້ຳເດັກໂຄໂດໂມະ100ມລ,8.85E+12,,,,,23000
ໂຄໂດໂມະ ສີມ່ວງ 200 ມລ,8.85E+12,,,,,35000
ຄີມອາບບນ້ຳເດັກໂຄໂດໂມະ400ມລ,8.85E+12,,,,,66000
ຄີມເອັມເກົ້າຂຽວ,13839,,,,,36000
ຄີມເອັມເກົ້າບົວ,13840,,,,,36000
ຄີມເອັມເກົ້າເຫຼືອງ,13841,,,,,36000
ຄີມໂກເນ່,8.85712E+12,,,,,25000
ຄີມໂກເນ່ 6 ກັບ,27615,,,,,120000
ຄີມໂສມງານ,13842,,,,,115000
ຄີມໄຂ່ມຸກຂີ້ມີິ້ນ,8.85E+12,,,,,30000
ຄີມໄຂ່ມູກຂອງແທ້,8.85E+12,,,,,55000
ຄີມໄຂ່ມູກຂອງແທ້ 12 ກັບ,8.85E+12,,,,,595000
ຄີໂອຟ້າ 2 ບາດ 24ຖົງ,8.85031E+12,,,,,27000
ຄຸກກີ້ຈວຍ 100ມລ,8.88501E+12,,,,,10000
ຄົວທິບ,8.85884E+12,,,,,38000
,8.85001E+12,,,,,32000
ຄໍເກດຂຽວມິ້ນ 150ກັມ  6ກ່ອງ,8.85001E+12,,,,,175000
ຄໍເກດດັ້ງເດີມ 6 ກ່ອງ,8.85001E+12,,,,,152000
ຄໍເກດຟ້າ 150ກັມ,8.85001E+12,,,,,32000
ຄໍເກດຣິວໃສເຢັນສົດຊື່ນ 150ກັມ,8.85001E+12,,,,,32000
ຄໍເກດຣິວໃສເຢັນສົດຊື່ນ 150ກັມ  6ກ່ອງ,8.85001E+12,,,,,185000
ຄໍເກດເກືອ 6ກ່ອງ,8.85001E+12,,,,,178000
ຄໍເກດເກືອຖ່ານຊາໂຄ 150ກັມ,8.85001E+12,,,,,35000
ຄໍເກດເກືອຖ່ານຊາໂຄ 150ກັມ  6ກ່ອງ,8.85001E+12,,,,,195000
ຄໍເກດເກືອສະໝຸນໄພ 150ກັມ,8.85001E+12,,,,,35000
ຄໍເກດເກືອສະໝຸນໄພ 35ກັມ,8.85001E+12,,,,,10000
ຄໍເກດເກືອສະໝຸນໄພ 35ກັມ,8.85001E+12,,,,,8500
ຄໍເກດເກືອສະໝຸນໄພ 35ກັມ  12ກ່ອງ,8.85001E+12,,,,,95000
ຄໍເກດເກືອສະໝຸນໄພ 35ກັມ  12ກ່ອງ,8.85001E+12,,,,,80000
ຄໍເກດເກືອເອັກຕຣ້າເຟດ 150ກັມ  6ກ່ອງ,8.85001E+12,,,,,178000
