code,proname,qty,rate,thb_price,price
ຄະນໍກ້ອນຕົ້ມຍຳ,8850144059097,,,,5000
ຄາບູກິ,8855444004808,,,,4000
ຄາບູກິ,8855444005140,,,,4000
ຄາບູກິ 12 ຊອງ,8855444005379,,,,37000
ຄາບູກິ 12 ຊອງ,8855444005362,,,,37000
ຄ່າບໍລິການກົດເງິນຜ່ານຮ້ານ,25195,,,,1000
ຄາລາບາວ,8855790001186,,,,9000
ຄາເວຍເບບີ້ອອຍ100ມລ,8850722040134,,,,17000
ຄິມໂອໂຮ,26121,,,,45000
ຄິວເພັດ ຈູລຽດໂລດ 60 ມລ,8850080746792,,,,35000
ຄິວເພັດຟູໄນສະລິບແບບຊອງ,8850080753493,,,,34000
ຄິວເພັດຟູໄນສະລິບແບບຊອງ 6ຊອງ,68850080753495,,,,196000
ຄີມຂັດຜິວສະຕໍບໍລີ່ 250ກັມ,6972049993657,,,,30000
ຄີມຍັນຮີສີຂຽວແບບກ່ອງ,13849,,,,50000
ຄີມຍັນຮີສີຟ້າແບບກ່ອງ,13848,,,,50000
ຄີມອາບນ້ຳດີຢ່າ765ມລ,8851427015366,,,,56000
ຄີມອາບນ້ຳບີໄນຂຽວໃຫຍ່ 450ມລ,8851989080246,,,,46000
ຄີມອາບນ້ຳບີໄນບົວນ້ອຍ 170ມລ,8851989080109,,,,25000
ຄີມອາບນ້ຳບີໄນບົວໃຫຍ່ 450ມລ,8851989080239,,,,46000
ຄີມອາບນ້ຳບີໄນລູກພີເ170ມລ,8851989082233,,,,30000
ຄີມອາບນ້ຳບີໄນແດງນ້ອຍ170ມລ,8851989080116,,,,26000
ຄີມອາບນ້ຳບີໄນແດງໃຫຍ່450ມລ,8851989080383,,,,46000
ຄີມອາບນ້ຳຟຣຸດກີວີ500ມລ,6928001828185,,,,35000
ຄີມອາບນ້ຳຟຣຸດສະຕໍບໍລີ່500ມລ,6928001828192,,,,30000
ຄີມອາບນ້ຳລັກ 2 ຕຸກ,8851932458580,,,,95000
ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກນ້ອຍ 190ມລ,8851932331302,,,,26000
ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກນ້ອຍ 190ມລ 3ຕຸກ,8851932331265,,,,67000
ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກໃຫຍ່ 450ມລ,13620,,,,50000
ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກໃຫຍ່ 450ມລ 8 ແພັກ,13618,,,,724000
ຄີມອາບນ້ຳລັກສີບົວແບບຕຸກໃຫຍ່ 450ມລ2ກ່ອງ,8851932369367,,,,97000
ຄີມອາບນ້ຳລັກສີຟ້າແບບຕຸກໃຫຍ່ 500ມລ,6956088534378,,,,50000
ຄີມອາບນ້ຳລັກສີມ່ວງ 2 ຕຸກ 450ມລ,8851932369381,,,,97000
ຄີມອາບນ້ຳລັກສີມ່ວງແບບຕຸກນ້ອຍ,13633,,,,26000
ຄີມອາບນ້ຳລັກສີມ່ວງແບບຕຸກນ້ອຍ190ມລ 3ຕຸກ,13632,,,,67000
ຄີມອາບນ້ຳລັກສີມ່ວງແບບຕຸກໃຫຍ່ 450ມລ8ແພັກ,13624,,,,724000
ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກນ້ອຍ,13631,,,,26000
ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກນ້ອຍ 190ມລ 3ຕຸກ,13630,,,,67000
ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກໃຫຍ່ 450ມລ2ກ່ອງ,8851932371346,,,,93000
